trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,3123,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
2,17873,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
3,18249,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.36,0.36,0.85,True,True,True,True,0.49,0.49,0.49
4,19205,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.68,0.65,True,False,False,False,0.030000000000000027,0.0,0.0
5,23822,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
6,9402,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.12,True,True,True,True,0.04999999999999999,0.03,0.04999999999999999
7,7554,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
8,5094,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.68,0.68,0.55,True,True,True,True,0.33000000000000007,0.13,0.33000000000000007
9,7589,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
10,8894,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
11,16819,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.92,0.92,0.92,True,False,True,False,0.020000000000000018,0.0,0.020000000000000018
12,11760,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.17,0.17,0.1,True,True,True,True,0.07,0.07,0.07
13,7754,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
14,5891,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
15,17512,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.91,0.91,0.75,True,True,True,True,0.6100000000000001,0.16000000000000003,0.6100000000000001
16,8068,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
17,13593,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.6,0.78,0.78,0.7,True,True,True,True,0.18000000000000005,0.08000000000000007,0.18000000000000005
18,7957,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
19,3257,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.15,0.15,0.1,True,True,True,True,0.09999999999999999,0.04999999999999999,0.09999999999999999
20,10190,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.05,0.05,0.1,True,True,True,True,0.05,0.05,0.05
21,15475,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
22,1069,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.28,0.28,0.28,True,False,True,False,0.08000000000000002,0.0,0.08000000000000002
23,6967,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
24,16743,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
25,13613,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.7,0.65,True,False,False,False,0.04999999999999993,0.0,0.0
26,20334,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.86,0.86,0.8,True,True,True,True,0.10999999999999999,0.05999999999999994,0.10999999999999999
27,10312,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
28,16795,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
29,6684,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
30,17597,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
31,15282,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.65,0.65,0.85,True,True,True,True,0.19999999999999996,0.19999999999999996,0.19999999999999996
32,12616,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
33,13489,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.95,0.95,0.93,True,True,True,True,0.04999999999999993,0.019999999999999907,0.04999999999999993
34,17372,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
35,12302,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.12,0.12,0.2,True,True,True,True,0.08000000000000002,0.08000000000000002,0.08000000000000002
36,19084,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.65,0.65,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
37,8482,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
38,24580,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.65,0.65,0.85,True,True,True,True,0.25,0.19999999999999996,0.25
39,16189,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
40,22636,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.89,0.85,0.85,0.89,True,True,True,True,0.040000000000000036,0.040000000000000036,0.040000000000000036
41,13644,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.91,0.85,0.85,0.91,True,True,True,True,0.06000000000000005,0.06000000000000005,0.06000000000000005
42,7555,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.2,0.2,0.3,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
43,12372,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
44,6824,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.45,0.65,0.65,0.55,True,True,True,True,0.2,0.09999999999999998,0.2
45,9750,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.55,0.65,0.65,0.6,True,True,True,True,0.09999999999999998,0.050000000000000044,0.09999999999999998
46,17538,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.45,0.65,0.65,0.55,True,True,True,True,0.2,0.09999999999999998,0.2
47,1864,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.05,0.05,0.05,True,False,True,False,0.05,0.0,0.05
48,1925,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
49,4342,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
50,18457,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
